Begin Timestamp,Distance (Raw),Duration_sec,Pace_sec_per_km,Elev_gain_per_km,Weather_Index,Workload_7d,Workload_Change_%,Injury_Risk,Recovery_Flag,VO2max_est,Calories
2016-01-07 16:15:00,3.2336,1221,335230.08411677385,25986.516575952497,31.450000000000003,0.0032336,,0,1,35.27985257985257,281.0
2016-01-10 16:21:00,6.85785,2337,334069.7157272323,29920.45611962933,30.7,0.01009145,212.08096239485403,1,1,38.71360718870347,542.0
2016-01-12 14:56:00,7.85964,2781,350397.7281402202,31171.911181682623,14.95,0.01795109,77.88414945325002,1,1,37.41430420711974,653.0
2016-02-12 14:51:00,5.04405,1611,308878.7779661185,15463.7642370714,21.150000000000002,0.02299514,28.098850821872105,0,1,41.072067039106145,351.0
2016-03-08 13:34:00,7.57971,2845,370726.58452632086,28712.180281303634,29.299999999999997,0.03057485,32.962225931218505,1,0,35.47065729349737,589.0
2016-03-09 18:24:00,6.0777,2318,372180.26556098525,35042.86160883229,24.299999999999997,0.03665255,19.8781024273218,0,0,34.963503019844694,441.0
2016-03-12 11:00:00,6.88248,2526,360335.2279992096,31965.22183863956,22.95,0.04353503,18.777629387314125,0,1,36.19586698337292,557.0
2016-04-08 14:48:00,5.05955,1675,318407.76353628293,13943.927819667759,29.2,0.045360979999999995,4.194208663689889,0,1,39.7475223880597,395.0
2016-05-07 18:50:00,3.41579,1114,321448.33259655896,19889.981526967407,25.5,0.04191892,-7.58815175509876,0,1,40.294865350089765,285.0
2016-06-08 09:19:00,5.30312,1601,293977.88471692137,652.4461071972726,27.8,0.0393624,-6.098725825951623,0,1,43.24855715178014,417.0
2016-06-09 14:25:00,7.58918,2844,371581.64650199364,27663.06768320161,25.3,0.041907530000000005,6.465891307440621,0,0,35.52185654008439,562.0
2016-07-06 09:10:00,4.94082,1903,380503.6410960124,14357.940584761232,25.75,0.03926864,-6.296935180861301,0,0,34.65598528638992,386.0
2016-07-08 09:26:00,5.31054,1721,320118.1047501761,672.2480199753697,27.0,0.038501480000000005,-1.9536199878579852,0,1,40.52875072632191,415.0
2016-07-10 16:49:00,9.1548,3193,342880.2376895181,23594.180102241447,21.950000000000003,0.0407738,5.90190299178108,0,1,37.90576260569997,710.0
2016-08-07 11:31:00,4.96816,1731,344594.37699268945,12851.840520434125,26.6,0.04068241,-0.22413903045582395,0,1,37.941317157712305,421.0
2016-08-09 12:49:00,5.06206,1624,316471.9501546801,13721.68642805498,26.5,0.04232868,4.046638338289197,0,1,40.904384236453204,396.0
2016-08-11 06:08:00,3.49451,1153,319071.91566199553,18886.768101965656,20.95,0.04052007,-4.272776755618182,0,1,39.86957502168257,253.0
2016-09-06 14:56:00,3.5558,1270,354350.6383936104,18974.632993981664,25.35,0.036486689999999995,-9.954030188003138,0,1,37.09811023622048,308.0
2016-09-08 10:51:00,10.02786,3469,339952.8912449914,13412.632406116558,25.799999999999997,0.04157373,13.94218001139596,0,1,38.18847506486019,804.0
2016-10-07 08:35:00,5.01117,1629,321082.70124541776,13709.373260136856,25.5,0.041274359999999996,-0.720094155612227,0,1,40.41469613259669,408.0
2016-10-10 17:24:00,5.03507,1454,282419.1123460051,14895.522803059343,22.5,0.03715463,-9.981329813472566,0,1,45.0549105914718,340.0
2016-10-11 15:24:00,4.8938,1586,318362.0090727043,14099.472802321307,25.05,0.03708027,-0.20013656440664995,0,1,40.527490542244635,372.0
2016-10-12 14:00:00,5.04681,1593,312474.6126761261,15653.452378829401,17.400000000000002,0.03706502,-0.04112699287249358,0,1,41.5174011299435,370.0
2016-11-06 10:05:00,4.98479,1805,354879.54357154464,10339.452614854386,29.200000000000003,0.0385553,4.02071818658132,0,1,36.63987811634349,420.0
2016-11-07 18:18:00,3.42168,1147,329370.3677725562,20586.378621028267,29.1,0.03842118,-0.3478639771963944,0,1,39.29787271142109,281.0
2016-11-08 12:33:00,7.60042,2821,366295.54682504386,28712.886919407083,22.700000000000003,0.035993739999999996,-6.317973576032811,0,0,35.8307479617157,576.0
2016-12-06 09:43:00,5.00634,1758,348358.2816988059,13946.31607122169,26.6,0.03598891,-0.013419000081673472,0,1,37.67296928327645,428.0
2016-12-08 11:55:00,4.90355,1692,340977.45510905364,12764.221839279706,25.35,0.035857389999999996,-0.3654459109764731,0,1,38.27695035460993,387.0
2016-12-09 17:46:00,7.21607,2487,339104.2492658746,16086.318453119218,23.05,0.038179660000000004,6.4764055610294236,0,1,38.31819059107359,567.0
2016-12-11 09:24:00,5.01789,1606,308894.7744968502,15544.382200486658,21.5,0.03815074,-0.07574713865969922,0,1,40.99357409713574,345.0
2017-02-07 10:45:00,6.3264,2408,379994.9418310572,33194.23368740516,31.6,0.039492349999999996,3.5166028234314535,0,0,35.02691029900332,435.0
2017-02-10 14:51:00,7.81321,2860,361439.152409829,31485.138630601254,30.0,0.04388388,11.11995107913306,0,1,36.2826993006993,619.0
2017-03-02 14:30:00,5.09182,1685,325816.7020829487,14533.113896406392,22.700000000000003,0.04137528,-5.716449867240544,0,1,39.76221958456974,409.0
2017-03-08 10:48:00,8.93656,3409,378669.1970959743,34017.563805312115,30.0,0.0453055,9.498956865065319,0,0,34.95753006746847,833.0
2017-03-11 09:47:00,7.62835,2880,377801.22831280687,32117.037105009604,26.45,0.0480303,6.014280826831178,0,0,35.28479166666668,626.0
2017-04-05 13:56:00,3.76345,1233,324967.7822211003,15942.818424583826,24.6,0.044577679999999995,-7.188420642802572,0,1,40.127250608272504,256.0
