date_aest,time_first,time_last,distance,calories,speed_max,speed_min,speed_avg,heartrate_max,heartrate_min,heartrate_avg,cadence_max,cadence_min,cadence_avg,power_max,power_min,power_avg,ftp,time_taken,dist_point_in_20,calories_point_in_20,hertrate_point_in20,speed_point_iin_20,power_points_in_20,candence_point_in_20,total_points,duration,workout_duration,calories_per_minute,calories_per_km,speed_efficiency,hr_reserve,hr_intensity_ratio,power_cadence_ratio,calories_per_min,cadence_range,hr_range,speed_range,power_range,workout_efficiency,hr_reserve_ratio,effort_density,cadence_efficiency,pace_index
2021-03-12,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,10.31,222.0,33.24,0.0,18.74,183.99,104.18,157.41,109,0,33.46,938.0,0,111.09,301,0.35599537,5.641586867,4.71279045,20.0,13.20648344,11.10344828,11.10344828,65.76775732,,9,24.666666666666668,21.532492725509215,0.08441441441441441,79.81,0.8555356269362465,3.3200836820083683,,109,79.81,33.24,938.0,1.998379692141507,0.5229568106312292,,0.3011972274732199,21.904406327425193
2021-03-15,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,5.18,99.0,35.58,0.0,20.79,183.99,104.18,157.41,105,0,35.52,844.0,0,109.88,301,0.456018519,2.834473324,2.101649795,20.0,14.65116279,10.98250875,10.98250875,61.55230341,,10,9.9,19.111969111969113,0.21,79.81,0.8555356269362465,3.093468468468468,,105,79.81,35.58,844.0,0.9009828904259192,0.5229568106312292,,0.3232617400800874,24.300566037735848
2021-03-18,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,20.12,479.0,53.56,0.0,23.97,183.99,104.18,157.41,111,0,47.03,1115.0,0,158.2,301,0.234861111,11.00957592,10.1685884,20.0,16.89217759,15.81209395,15.81209395,89.69452981,,11,43.54545454545455,23.807157057654074,0.050041753653444675,79.81,0.8555356269362465,3.3638103338294703,,111,79.81,53.56,1115.0,3.0278128950695327,0.5229568106312292,,0.2972819216182048,28.017535734705547
2021-03-20,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,5.77,109.0,36.22,0.0,18.46,183.99,104.18,157.41,89,0,31.32,660.0,0,99.01,301,0.021157407,3.157318741,2.313937653,20.0,13.00916138,9.896051974,9.896051974,58.27252172,,12,9.083333333333334,18.890814558058928,0.16935779816513763,79.81,0.8555356269362465,3.1612388250319285,,89,79.81,36.22,660.0,1.1008988991011008,0.5229568106312292,,0.3163316836683163,21.57712597674862
2021-03-30,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,5.95,134.0,44.6,0.0,23.84,183.99,104.18,157.41,107,0,43.49,819.0,0,143.28,301,0.260983796,3.255813953,2.844657298,20.0,16.80056378,14.32083958,14.32083958,71.54271419,,13,10.307692307692308,22.521008403361343,0.17791044776119402,79.81,0.8555356269362465,3.2945504713727294,,107,79.81,44.6,819.0,0.9352317141261864,0.5229568106312292,,0.3035315466219989,27.865584143319992
2021-04-07,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,11.16,942.18,48.73,0.0,20.66,183.99,104.18,157.41,108,0,68.54,898.25,0,200.1,301,0.239976852,6.106703146,20.0,20.0,14.55954898,20.0,20.0,100.6662521,,14,67.29857142857142,84.4247311827957,0.021927869409242396,79.81,0.8555356269362465,2.919463087248322,,108,79.81,48.73,898.25,4.708545727136432,0.5229568106312292,,0.34252873563218394,24.148614446350297
2021-04-08,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,5.52,942.18,39.2,0.0,20.23,183.99,104.18,157.41,108,0,68.54,898.25,0,200.1,301,0.41087963,3.020519836,20.0,20.0,14.25651868,20.0,20.0,97.27703852,,15,62.812,170.68478260869566,0.021471481033348193,79.81,0.8555356269362465,2.919463087248322,,108,79.81,39.2,898.25,4.708545727136432,0.5229568106312292,,0.34252873563218394,23.646005336382697
2021-04-09,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,5.49,942.18,42.09,0.0,17.9,183.99,104.18,157.41,99,0,53.32,898.25,0,200.1,301,0.37099537,3.004103967,20.0,20.0,12.61451727,20.0,20.0,95.61862124,,16,58.88625,171.6174863387978,0.018998492856991234,79.81,0.8555356269362465,3.7528132033008252,,99,79.81,42.09,898.25,4.708545727136432,0.5229568106312292,,0.26646676661669166,20.922565275395463
2021-04-13,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,10.78,942.18,38.08,0.0,20.88,183.99,104.18,157.41,98,0,46.62,898.25,0,200.1,301,0.272731481,5.89876881,20.0,20.0,14.71458774,20.0,20.0,100.6133566,,17,55.42235294117647,87.40074211502782,0.022161370438769663,79.81,0.8555356269362465,4.2921492921492925,,98,79.81,38.08,898.25,4.708545727136432,0.5229568106312292,,0.23298350824587705,24.40576329331046
2021-04-22,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,3.04,59.0,31.26,0.0,19.7,183.99,104.18,157.41,83,0,40.48,498.0,0,109.0,301,0.008032407,1.663474692,1.252498363,20.0,13.88301621,10.89455272,10.89455272,58.58809471,,18,3.2777777777777777,19.407894736842106,0.3338983050847458,79.81,0.8555356269362465,2.6926877470355732,,83,79.81,31.26,498.0,0.5412844036697247,0.5229568106312292,,0.3713761467889908,23.026510386887747
