personId,date,exercise_activeDuration_in_ms,exercise_steps,exercise_calories,exercise_elevationGain,exercise_averageHeartRate,sleep_duration_in_ms,sleep_minutesAsleep,sleep_minutesAwake,sleep_efficiency
p01,2020-02-01,1536000,523.0,123,0.0,88.0,22560000,326,50,97.0
p01,2020-02-02,1946000,2011.0,254,24.38,97.0,24420000,372,35,99.0
p01,2020-02-03,1280000,1654.0,195,24.38,100.0,25140000,369,50,95.0
p01,2020-02-05,4808000,8788.0,1003,117.96,129.5,40560000,600,76,99.0
p01,2020-02-06,9186000,14105.0,1811,108.2,112.0,21480000,317,41,96.0
p01,2020-02-08,922000,1441.0,156,0.0,104.0,28320000,425,47,99.0
p01,2020-02-09,1484000,1883.0,189,27.43,90.0,25620000,379,48,94.0
p01,2020-02-10,2013000,4963.0,567,45.42,152.0,21720000,327,35,99.0
p01,2020-02-12,2509000,3817.0,410,0.0,106.5,22020000,338,29,98.0
p01,2020-02-13,2105000,4360.0,456,39.93,123.0,21960000,330,36,98.0
p01,2020-02-14,973000,1390.0,151,18.29,102.0,17160000,247,39,100.0
p01,2020-02-16,973000,1236.0,140,0.0,99.0,28800000,417,63,96.0
p01,2020-02-18,2794000,3920.0,428,73.15,102.0,25680000,389,39,97.0
p01,2020-02-19,3635000,4775.0,505,48.77,92.5,23100000,352,33,99.0
p01,2020-02-21,2283000,4995.0,557,72.24,133.5,18360000,263,43,98.0
p01,2020-02-22,1535000,1432.0,165,0.0,84.0,25080000,378,40,97.0
p01,2020-02-26,1593000,4056.0,486,70.71,159.0,19320000,296,26,97.0
p01,2020-02-27,6502000,9725.0,1387,24.38,116.5,21660000,319,42,96.0
p01,2020-02-29,1331000,1470.0,194,27.43,104.0,24840000,362,52,94.0
p01,2020-03-01,1485000,1394.0,180,0.0,92.0,22680000,346,32,96.0
p01,2020-03-02,1331000,1668.0,193,9.14,94.0,24480000,366,42,94.0
p01,2020-03-03,973000,997.0,107,0.0,83.0,24240000,374,30,99.0
p01,2020-03-05,6047000,11063.0,1445,153.31,139.5,24300000,358,47,97.0
p01,2020-03-06,1843000,2146.0,249,0.0,95.0,50280000,738,100,94.0
p01,2020-03-07,3277000,5056.0,545,0.0,103.0,27060000,392,59,97.0
p01,2020-03-08,1536000,1678.0,211,27.43,95.0,24780000,371,42,96.0
p01,2020-03-09,922000,932.0,102,6.1,81.0,22440000,334,40,98.0
p01,2020-03-10,3320000,6351.0,735,82.3,120.5,22200000,326,44,97.0
p01,2020-03-12,1433000,1748.0,232,0.0,107.0,22500000,331,44,97.0
p01,2020-03-14,2653000,5176.0,568,76.81,118.5,29280000,446,42,98.0
p01,2020-03-15,3738000,5220.0,581,0.0,96.0,21120000,301,51,95.0
p01,2020-03-16,973000,915.0,128,0.0,96.0,24120000,345,57,98.0
p01,2020-03-17,2509000,3286.0,385,45.72,98.5,32100000,473,62,100.0
p01,2020-03-19,2323000,2326.0,268,9.14,85.0,22680000,332,46,97.0
p01,2020-03-21,6577000,8315.0,971,15.24,98.0,25980000,381,52,98.0
p01,2020-03-25,3431000,5106.0,517,64.01,93.5,24180000,347,56,99.0
p01,2020-03-26,2611000,3415.0,395,18.29,101.0,27540000,415,44,98.0
p01,2020-03-27,5018000,6371.0,759,48.77,97.67,20700000,307,38,97.0
p01,2020-03-28,5581000,7599.0,846,106.68,100.0,24120000,354,48,96.0
p01,2020-03-29,1076000,1279.0,151,0.0,96.0,28440000,349,65,99.0
p01,2020-03-31,2764000,3846.0,459,85.34,108.0,22860000,345,36,98.0
p02,2019-11-06,5036000,11173.0,649,149.35,122.0,27180000,387,66,93.0
p02,2019-11-07,4505000,6541.0,641,91.44,93.33,25020000,383,34,90.0
p02,2019-11-08,4710000,10365.0,992,234.7,117.5,28680000,389,89,98.0
