muscle,MAE_mean,MAE_std,R2_mean,R2_std
BF,2.7960551107075675,1.1185540122980913,0.9517951462422846,0.052098450693174835
RF,2.591091190115394,1.541018988992505,0.9677797761693795,0.025253177719267335
ST,2.8606128195977067,1.1075672864092587,0.9331358240134556,0.1038149633600029
VM,2.631485256541098,1.096914704085004,0.9623895228090628,0.037366012987891
