setup,muscle,MAE,R2
baseline,VM,2.810624556244588,0.9589378774366204
baseline,RF,2.748481018474739,0.9674112976420403
baseline,BF,2.840230672585578,0.948698364031254
baseline,ST,3.054284169705927,0.915478461577029
no_tmid,VM,2.754153527488772,0.9600090789326342
no_tmid,RF,2.716649049952958,0.9676549592229038
no_tmid,BF,2.776080974256109,0.9495585372712624
no_tmid,ST,3.005410466073932,0.9159424209450232
no_freq,VM,2.686199516365186,0.9606008977095979
no_freq,RF,2.6072878287720127,0.9694779708238976
no_freq,BF,2.7165583879323125,0.9519456469791955
no_freq,ST,2.9174541069370856,0.9184616992574147
