Activity ID,Activity Date,Activity Name,Activity Type,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Filename,Athlete Weight,Elapsed Time.1,Moving Time,Distance.1,Max Speed,Elevation Gain,Elevation Low,Elevation High,Max Grade,Average Grade,Max Cadence,Average Cadence,Average Heart Rate,Calories,Relative Effort.1,Commute.1
2189888454,"30 Dec 2018, 18:37:48","Montréal, Île de Montréal / Montréal, Parc Jean-Drapeau",Run,4668,11.97,171.0,101.0,False,activities/2333656551.fit.gz,84.0,4668.0,4081.0,11976.900390625,3.900000095367432,70.74665832519531,6.199999809265137,18.100000381469727,15.899999618530272,0.0,141.0,83.03025817871094,152.30873107910156,822.0,101.0,0.0
2189888502,"26 Dec 2018, 17:50:51","Montréal, Île de Montréal",Run,3599,10.03,166.0,103.0,False,activities/2333656590.fit.gz,84.0,3599.0,3559.0,10036.7998046875,3.5999999046325684,34.991241455078125,7.099999904632568,21.100000381469727,13.100000381469728,0.0,94.0,83.44876861572266,156.02810668945312,717.0,103.0,0.0
2189888569,"25 Dec 2018, 20:21:29","Montréal, Île de Montréal",Run,3732,10.33,174.0,116.0,False,activities/2333656655.fit.gz,84.0,3732.0,3667.0,10331.900390625,3.700000047683716,30.58835220336914,9.699999809265137,21.100000381469727,12.399999618530272,-0.0009678761707618,141.0,82.74420166015625,158.59475708007812,708.0,116.0,0.0
2189888609,"22 Dec 2018, 15:40:56","Montréal, Île de Montréal",Run,3738,10.25,171.0,113.0,False,activities/2333656695.fit.gz,84.0,3738.0,3678.0,10255.7001953125,3.5999999046325684,33.60542297363281,7.099999904632568,21.100000381469727,15.100000381469728,0.0,129.0,82.80232238769531,156.9851531982422,719.0,113.0,0.0
2189888619,"15 Dec 2018, 18:23:23","Montréal, Île de Montréal",Run,5710,15.17,185.0,290.0,False,activities/2333656699.fit.gz,84.0,5710.0,5306.0,15175.2001953125,4.0,27.05795669555664,9.800000190734863,21.899999618530277,8.300000190734863,0.0,141.0,81.29324340820312,172.89723205566406,1048.0,290.0,0.0
2189888684,"1 Dec 2018, 15:10:56",Vienna,Run,4562,12.25,78.0,0.0,False,activities/2333656788.fit.gz,84.0,4562.0,4558.0,12257.5,0.0,0.0,157.89999389648438,157.89999389648438,0.0,0.0,129.0,129.0,76.66666412353516,864.0,0.0,0.0
2189888713,"15 Nov 2018, 10:21:40","Madrid, Buen Retiro Park",Run,4261,10.00,175.0,68.0,False,activities/2333656793.fit.gz,84.0,4261.0,3594.0,10006.0,5.0,106.38519287109376,650.0999755859375,685.7000122070312,9.0,-0.0039976015686988,176.0,81.21928405761719,144.66983032226562,730.0,68.0,0.0
2189888763,"11 Nov 2018, 17:42:01","Montréal, Île de Montréal",Run,5828,16.62,171.0,157.0,False,activities/2333656841.fit.gz,84.0,5828.0,5788.0,16627.900390625,3.799999952316284,48.51754760742188,6.800000190734863,21.899999618530277,15.800000190734863,0.0,117.0,82.41012573242188,153.43276977539062,1157.0,157.0,0.0
2189888790,"10 Nov 2018, 20:49:14","Montréal, Île de Montréal",Run,2626,7.01,171.0,71.0,False,activities/2333656883.fit.gz,84.0,2626.0,2428.0,7014.10009765625,3.799999952316284,24.281234741210938,9.800000190734863,20.799999237060547,8.0,0.1012246757745742,94.0,82.41873931884766,156.53233337402344,496.0,71.0,0.0
2189888839,"5 Nov 2018, 18:58:35","New York, Central Park / New York, Manhattan",Run,1810,4.92,162.0,34.0,False,activities/2333656933.fit.gz,84.0,1810.0,1726.0,4926.5,3.5999999046325684,27.081144332885746,15.0,38.0,16.5,-0.3146249949932098,129.0,80.8040542602539,147.72637939453125,343.0,34.0,0.0
2189888841,"7 Nov 2018, 16:23:12","New York, Central Park",Run,3769,10.26,171.0,92.0,False,activities/2333656889.fit.gz,84.0,3769.0,3550.0,10259.2001953125,4.099999904632568,110.45540618896484,5.699999809265137,37.09999847412109,34.70000076293945,-0.02729257568717,141.0,80.94398498535156,153.86181640625,748.0,92.0,0.0
